User-ID,Num-Ratings,Avg-Rating
7,1,4.0
59,1,3.0
79,4,3.5
87,7,2.71
94,1,5.0
97,2,3.5
142,5,3.6
158,1,3.0
177,1,3.0
199,1,4.0
261,3,2.67
296,1,4.0
298,4,3.5
301,4,3.25
302,1,3.0
307,7,3.29
310,6,5.0
333,5,3.4
383,9,2.44
384,7,3.29
392,2,2.5
437,2,1.5
462,1,1.0
471,1,4.0
477,2,3.0
478,15,4.2
479,1,5.0
485,2,3.0
491,4,4.0
495,2,4.5
544,1,1.0
546,1,4.0
585,1,2.0
592,6,3.17
657,1,4.0
682,2,5.0
684,4,3.5
744,5,1.4
748,3,4.0
750,3,2.67
756,11,1.73
769,362,3.03
829,1,5.0
834,3,3.67
840,2,2.0
906,3,3.0
909,3,2.67
920,1,1.0
921,1,5.0
962,1,2.0
967,2,2.0
979,42,3.19
981,1,5.0
989,3,3.0
1007,2,2.5
1047,2,4.0
1069,1,3.0
1070,1,5.0
1086,11,3.64
1097,1,2.0
1117,1,3.0
1135,2,3.5
1179,10,2.7
1188,2,3.0
1222,1,1.0
1243,1,1.0
1248,2,2.0
1311,6,3.83
1323,1,3.0
1331,8,3.38
1333,936,2.64
1346,1,5.0
1353,14,2.64
1357,14,2.43
1358,9,2.11
1365,1,5.0
1385,1,4.0
1398,3,3.33
1409,7,3.71
1415,1,5.0
1420,1,3.0
1427,175,3.54
1442,4,3.25
1457,2,2.0
1500,1,3.0
1507,1,4.0
1512,1,3.0
1518,2,5.0
1523,5,1.6
1527,17,2.41
1533,3,1.67
1553,3,3.0
1561,2,3.5
1573,3,5.0
1611,5,3.4
1636,1,3.0
1658,7,1.86
1664,1,3.0
1671,1,5.0
1691,2,3.5
1715,2,4.0
1717,1,5.0
1722,2,5.0
1730,1,1.0
1734,2,4.0
1746,1,5.0
1760,2,3.0
1779,1,4.0
1791,2,3.0
1810,26,4.62
1811,4,2.75
1830,3,3.67
1856,2,3.0
1893,2,1.0
1894,3,3.33
1896,1,1.0
1897,2,3.0
1900,19,3.0
1913,11,2.09
1921,1,1.0
1922,4,3.5
1947,2,4.0
1983,1,4.0
1985,3,4.67
1994,1,5.0
2025,6,3.83
2027,8,4.25
2040,2,4.5
2110,1,1.0
2114,16,2.62
2122,1,2.0
2133,16,2.75
2138,1,3.0
2168,1,3.0
2190,16,3.44
2203,9,3.33
2213,98,2.39
2223,9,4.22
2225,16,3.19
2233,1,1.0
2270,1,4.0
2282,2,3.0
2347,4,3.75
2363,75,4.4
2397,1,3.0
2442,150,3.36
2455,10,3.0
2467,8,3.25
2469,1,5.0
2487,1,4.0
2530,16,3.56
2549,1,4.0
2555,21,3.1
2612,3,3.33
2623,7,4.71
2624,1,1.0
2636,2,4.0
2678,3,3.0
2693,1,2.0
2701,1,2.0
2705,14,2.57
2720,1,3.0
2723,1,1.0
2753,2,3.0
2762,2,3.0
2781,41,2.0
2787,1,3.0
2846,1,3.0
2878,12,4.42
2882,6,3.5
2900,1,3.0
2905,7,2.86
2975,10,3.7
2980,1,4.0
3012,9,3.44
3018,1,3.0
3039,62,3.37
3069,1,4.0
3094,1,3.0
3097,5,4.2
3104,2,1.5
3172,3,5.0
3174,3,1.0
3184,3,1.67
3221,3,4.0
3247,13,3.23
3260,1,1.0
3284,1,4.0
3287,1,1.0
3292,3,4.0
3303,3,5.0
3308,2,4.0
3321,248,1.5
3323,13,3.0
3328,1,5.0
3354,8,2.75
3363,1,5.0
3392,3,5.0
3402,3,5.0
3423,15,1.4
3432,10,3.7
3433,5,3.0
3449,1,2.0
3458,14,3.0
3462,19,2.79
3468,1,4.0
3470,1,3.0
3492,6,3.0
3495,3,3.33
3513,2,3.0
3518,1,5.0
3561,22,1.95
3593,16,3.56
3595,12,2.75
3596,3,5.0
3597,22,4.64
3602,1,3.0
3604,14,3.57
3612,2,3.5
3613,2,3.5
3621,3,2.0
3636,13,3.54
3638,2,5.0
3643,1,3.0
3687,3,3.67
3694,6,3.17
3728,2,2.5
3764,4,4.0
3767,2,4.0
3777,15,3.67
3786,8,3.5
3798,2,1.5
3802,1,3.0
3803,3,5.0
3825,4,2.25
3826,7,2.14
3830,22,3.32
3871,1,5.0
3902,4,3.25
3916,2,5.0
3921,1,2.0
3952,1,1.0
3992,1,4.0
3998,16,4.25
4016,15,3.73
4044,2,2.5
4057,3,4.0
4059,2,3.5
4062,1,1.0
4084,9,3.44
4103,3,4.0
4106,8,2.38
4125,1,2.0
4229,2,2.5
4244,1,1.0
4247,18,2.72
4258,3,3.67
4277,1,3.0
4292,3,3.33
4294,1,2.0
4300,1,1.0
4313,1,5.0
4315,9,3.22
4326,14,3.21
4350,1,5.0
4395,1,4.0
4409,13,4.46
4422,2,3.0
4437,1,4.0
4447,2,5.0
4488,1,2.0
4490,1,2.0
4525,1,3.0
4556,1,2.0
4559,1,4.0
4576,22,3.68
4597,18,3.0
4605,1,4.0
4619,9,3.67
4628,5,2.2
4638,2,2.0
4653,1,3.0
4679,1,5.0
4705,1,5.0
4733,1,4.0
4737,1,4.0
4751,1,4.0
4753,9,4.0
4783,8,3.0
4789,2,4.5
4797,2,1.0
4804,1,1.0
4832,2,1.5
4853,2,2.0
4878,1,2.0
4893,1,4.0
4894,1,4.0
4905,25,3.0
4906,2,4.5
4955,3,4.33
4977,1,3.0
4991,5,2.8
5011,4,5.0
5017,2,2.5
5034,2,2.5
5087,3,2.0
5109,12,2.25
5126,6,3.5
5168,7,2.57
5172,1,3.0
5202,10,3.0
5225,3,3.0
5245,1,4.0
5256,9,2.56
5277,3,2.0
5280,2,3.0
5281,2,3.5
5317,5,4.2
5336,1,3.0
5390,1,2.0
5399,1,1.0
5412,12,3.25
5442,2,3.5
5474,7,3.71
5519,1,5.0
5525,2,3.5
5530,3,4.0
5534,3,2.67
5569,32,3.66
5573,1,3.0
5596,1,4.0
5605,1,2.0
5618,2,2.0
5652,3,3.33
5658,1,4.0
5665,10,3.1
5671,2,2.5
5682,2,3.5
5685,1,1.0
5689,5,2.4
5696,6,3.67
5720,1,2.0
5727,3,2.33
5746,2,2.5
5771,5,2.0
5823,1,4.0
5827,7,3.0
5841,1,1.0
5851,13,4.46
5856,4,1.25
5875,1,1.0
5878,3,3.0
5889,1,3.0
5916,5,3.4
5927,5,3.2
5931,1,3.0
5945,9,1.11
5951,22,2.55
5977,2,3.5
5980,49,3.37
5987,10,3.2
5994,4,2.75
6018,3,3.33
6037,5,4.0
6048,10,1.7
6056,3,1.67
6065,1,2.0
6071,6,3.5
6110,5,3.6
6130,2,5.0
6138,2,4.0
6141,1,3.0
6154,2,3.5
6161,4,2.25
6206,1,4.0
6228,15,3.07
6231,2,2.5
6265,5,4.0
6303,1,4.0
6319,37,3.92
6323,1,4.0
6325,3,3.67
6340,3,3.67
6363,1,2.0
6368,1,5.0
6373,3,3.67
6378,1,3.0
6381,1,2.0
6384,1,2.0
6401,1,5.0
6427,1,2.0
6460,5,4.2
6463,1,4.0
6483,1,3.0
6485,1,3.0
6488,1,4.0
6496,1,3.0
6510,5,3.0
6544,1,5.0
6589,12,3.83
6628,1,3.0
6629,6,2.17
